category,event,date
Weather ,Tropical Storm Isaias,8/4/2020
Weather ,September 2023 Floods,9/29/2023
Weather ,Heat Wave,7/15/2024
Weather ,Heat Wave,7/16/2024
Weather ,Heat Wave,7/17/2024
Weather ,Heat Wave,7/18/2024
Weather ,Heat Wave,7/19/2024
Weather ,Heat Wave,7/20/2024
Weather ,Upper West Side Water Main Break,11/20/2024
Sporting ,US Open Tennis Championships,8/31/2020
Sporting ,US Open Tennis Championships,9/1/2020
Sporting ,US Open Tennis Championships,9/2/2020
Sporting ,US Open Tennis Championships,9/3/2020
Sporting ,US Open Tennis Championships,9/4/2020
Sporting ,US Open Tennis Championships,9/5/2020
Sporting ,US Open Tennis Championships,9/6/2020
Sporting ,US Open Tennis Championships,9/7/2020
Sporting ,US Open Tennis Championships,9/8/2020
Sporting ,US Open Tennis Championships,9/9/2020
Sporting ,US Open Tennis Championships,9/10/2020
Sporting ,US Open Tennis Championships,9/11/2020
Sporting ,US Open Tennis Championships,9/12/2020
Sporting ,US Open Tennis Championships,9/13/2020
Sporting ,US Open Tennis Championships,8/30/2021
Sporting ,US Open Tennis Championships,8/31/2021
Sporting ,US Open Tennis Championships,9/1/2021
Sporting ,US Open Tennis Championships,9/2/2021
Sporting ,US Open Tennis Championships,9/3/2021
Sporting ,US Open Tennis Championships,9/4/2021
Sporting ,US Open Tennis Championships,9/5/2021
Sporting ,US Open Tennis Championships,9/6/2021
Sporting ,US Open Tennis Championships,9/7/2021
Sporting ,US Open Tennis Championships,9/8/2021
Sporting ,US Open Tennis Championships,9/9/2021
Sporting ,US Open Tennis Championships,9/10/2021
Sporting ,US Open Tennis Championships,9/11/2021
Sporting ,US Open Tennis Championships,9/12/2021
Sporting ,US Open Tennis Championships,8/29/2022
Sporting ,US Open Tennis Championships,8/30/2022
Sporting ,US Open Tennis Championships,8/31/2022
Sporting ,US Open Tennis Championships,9/1/2022
Sporting ,US Open Tennis Championships,9/2/2022
Sporting ,US Open Tennis Championships,9/3/2022
Sporting ,US Open Tennis Championships,9/4/2022
Sporting ,US Open Tennis Championships,9/5/2022
Sporting ,US Open Tennis Championships,9/6/2022
Sporting ,US Open Tennis Championships,9/7/2022
Sporting ,US Open Tennis Championships,9/8/2022
Sporting ,US Open Tennis Championships,9/9/2022
Sporting ,US Open Tennis Championships,9/10/2022
Sporting ,US Open Tennis Championships,9/11/2022
Sporting ,US Open Tennis Championships,8/28/2023
Sporting ,US Open Tennis Championships,8/29/2023
Sporting ,US Open Tennis Championships,8/30/2023
Sporting ,US Open Tennis Championships,8/31/2023
Sporting ,US Open Tennis Championships,9/1/2023
Sporting ,US Open Tennis Championships,9/2/2023
Sporting ,US Open Tennis Championships,9/3/2023
Sporting ,US Open Tennis Championships,9/4/2023
Sporting ,US Open Tennis Championships,9/5/2023
Sporting ,US Open Tennis Championships,9/6/2023
Sporting ,US Open Tennis Championships,9/7/2023
Sporting ,US Open Tennis Championships,9/8/2023
Sporting ,US Open Tennis Championships,9/9/2023
Sporting ,US Open Tennis Championships,9/10/2023
Sporting ,US Open Tennis Championships,8/26/2024
Sporting ,US Open Tennis Championships,8/27/2024
Sporting ,US Open Tennis Championships,8/28/2024
Sporting ,US Open Tennis Championships,8/29/2024
Sporting ,US Open Tennis Championships,8/30/2024
Sporting ,US Open Tennis Championships,8/31/2024
Sporting ,US Open Tennis Championships,9/1/2024
Sporting ,US Open Tennis Championships,9/2/2024
