date,code,area,product,process,price,units
3/2/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.49,$/GAL
3/9/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.47,$/GAL
3/16/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.38,$/GAL
3/23/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.30,$/GAL
3/30/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.24,$/GAL
4/6/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.19,$/GAL
4/13/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.15,$/GAL
4/20/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.11,$/GAL
4/27/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.06,$/GAL
5/4/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.05,$/GAL
5/11/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.08,$/GAL
5/18/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.09,$/GAL
5/25/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.11,$/GAL
6/1/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.11,$/GAL
6/8/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.13,$/GAL
6/15/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.14,$/GAL
6/22/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.17,$/GAL
6/29/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.19,$/GAL
7/6/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.19,$/GAL
7/13/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.20,$/GAL
7/20/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.20,$/GAL
7/27/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.19,$/GAL
8/3/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.19,$/GAL
8/10/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.18,$/GAL
8/17/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.17,$/GAL
8/24/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.16,$/GAL
8/31/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.24,$/GAL
9/7/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.23,$/GAL
9/14/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.20,$/GAL
9/21/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.18,$/GAL
9/28/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.17,$/GAL
10/5/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.16,$/GAL
10/12/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.16,$/GAL
10/19/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.17,$/GAL
10/26/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.16,$/GAL
11/2/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.15,$/GAL
11/9/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.14,$/GAL
11/16/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.15,$/GAL
11/23/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.15,$/GAL
11/30/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.15,$/GAL
12/7/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.17,$/GAL
12/14/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.18,$/GAL
12/21/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.24,$/GAL
12/28/2020,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.24,$/GAL
1/4/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.26,$/GAL
1/11/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.31,$/GAL
1/18/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.40,$/GAL
1/25/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.44,$/GAL
2/1/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.45,$/GAL
2/8/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.49,$/GAL
2/15/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.53,$/GAL
2/22/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.64,$/GAL
3/1/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.73,$/GAL
3/8/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.77,$/GAL
3/15/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.83,$/GAL
3/22/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.83,$/GAL
3/29/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.82,$/GAL
4/5/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.82,$/GAL
4/12/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.80,$/GAL
4/19/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.80,$/GAL
4/26/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.83,$/GAL
5/3/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.87,$/GAL
5/10/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.94,$/GAL
5/17/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.98,$/GAL
5/24/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.99,$/GAL
5/31/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,2.98,$/GAL
6/7/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,3.01,$/GAL
6/14/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,3.06,$/GAL
6/21/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,3.07,$/GAL
6/28/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,3.08,$/GAL
7/5/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,3.11,$/GAL
7/12/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,3.13,$/GAL
7/19/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,3.13,$/GAL
7/26/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,3.12,$/GAL
8/2/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,3.15,$/GAL
8/9/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,3.14,$/GAL
8/16/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,3.15,$/GAL
8/23/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,3.14,$/GAL
8/30/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,3.17,$/GAL
9/6/2021,SNY,NEW YORK,Regular Gasoline,Retail Sales,3.23,$/GAL
