date,humidity_percentage,temperature_c,weather_condition
1/1/2020,76.33,2.77,Sunny
1/2/2020,84.15,4.67,Sunny
1/3/2020,96.32,7.05,Sunny
1/4/2020,95.59,7.83,Sunny
1/5/2020,75.02,3.59,Sunny
1/6/2020,78.29,4.03,Sunny
1/7/2020,78.75,3.71,Sunny
1/8/2020,78.2,2.07,Sunny
1/9/2020,66.22,-0.53,Snowy
1/10/2020,91.95,6.35,Sunny
1/11/2020,95.67,10.13,Windy
1/12/2020,83.19,11.68,Windy
1/13/2020,91.73,6.09,Sunny
1/14/2020,94.21,5.91,Sunny
1/15/2020,84.3,6.93,Sunny
1/16/2020,78.85,6.12,Sunny
1/17/2020,71.98,-2.05,Snowy
1/18/2020,77.51,-0.54,Snowy
1/19/2020,81.87,3.22,Sunny
1/20/2020,76.4,-2.68,Snowy
1/21/2020,76.61,-2.29,Snowy
1/22/2020,69.01,-0.19,Snowy
1/23/2020,66.98,3.47,Sunny
1/24/2020,80.68,5.19,Sunny
1/25/2020,97.3,6.11,Sunny
1/26/2020,84.92,4.11,Sunny
1/27/2020,83.58,3.66,Sunny
1/28/2020,80.24,2.78,Sunny
1/29/2020,73.57,1.1,Sunny
1/30/2020,72.38,0.35,Sunny
1/31/2020,81.08,4.1,Sunny
2/1/2020,93.82,3.82,Sunny
2/2/2020,87.66,3.25,Sunny
2/3/2020,85.07,5.9,Sunny
2/4/2020,96.26,7.56,Sunny
2/5/2020,76.68,5.2,Sunny
2/6/2020,96.02,4.92,Sunny
2/7/2020,85.11,5.36,Sunny
2/8/2020,70.78,1.82,Sunny
2/9/2020,76.1,4.13,Sunny
2/10/2020,91.68,5.98,Sunny
2/11/2020,94.86,6.31,Sunny
2/12/2020,73.12,4.14,Sunny
2/13/2020,93.11,5.67,Sunny
2/14/2020,76.43,-0.97,Snowy
2/15/2020,70.77,-3.4,Snowy
2/16/2020,80.52,3.01,Sunny
2/17/2020,79.93,4.43,Sunny
2/18/2020,92.06,5.96,Sunny
2/19/2020,73.86,4.33,Sunny
2/20/2020,66.43,0.21,Sunny
2/21/2020,65.13,-1.57,Snowy
2/22/2020,70.3,2.62,Sunny
2/23/2020,77.96,4.23,Sunny
2/24/2020,93.66,5.52,Sunny
2/25/2020,96.9,6.35,Sunny
2/26/2020,96.44,6.33,Sunny
2/27/2020,74.27,4.1,Sunny
2/28/2020,70.18,1.61,Sunny
2/29/2020,69.54,-0.29,Snowy
3/1/2020,69.86,1.18,Sunny
3/2/2020,84.06,6.71,Sunny
3/3/2020,93.62,8.31,Sunny
3/4/2020,76.31,7.71,Sunny
3/5/2020,73.31,5.41,Sunny
3/6/2020,83.48,5.43,Sunny
3/7/2020,72.1,3.39,Sunny
3/8/2020,70.18,5.38,Sunny
3/9/2020,81.79,8.62,Sunny
3/10/2020,89.42,10.35,Windy
3/11/2020,75.09,7.6,Sunny
3/12/2020,90.55,6.89,Sunny
3/13/2020,84.27,10.54,Windy
3/14/2020,72.31,7.06,Sunny
3/15/2020,69.45,6.47,Sunny
3/16/2020,74.87,3.78,Sunny
3/17/2020,90.4,7.16,Sunny
3/18/2020,73.12,6.36,Sunny
3/19/2020,92.41,7.98,Sunny
3/20/2020,94.58,11.57,Windy
3/21/2020,68.95,6.81,Sunny
3/22/2020,71.34,3.1,Sunny
3/23/2020,88.82,4.41,Sunny
3/24/2020,81.49,5.95,Sunny
3/25/2020,88.14,5.73,Sunny
3/26/2020,81.73,6.45,Sunny
3/27/2020,75.62,10.37,Windy
3/28/2020,91.95,8.11,Sunny
3/29/2020,96.88,8.07,Sunny
3/30/2020,94.26,6.7,Sunny
3/31/2020,84.41,5.86,Sunny
4/1/2020,75.29,6.48,Sunny
4/2/2020,74.56,7.65,Sunny
4/3/2020,84.09,7.95,Sunny
4/4/2020,85.97,8.6,Sunny
4/5/2020,90.25,9.54,Sunny
4/6/2020,77.41,10.56,Windy
4/7/2020,80.16,9.69,Sunny
4/8/2020,89.3,10.93,Windy
4/9/2020,82.87,9.52,Sunny
4/10/2020,71.27,6.31,Sunny
4/11/2020,69.49,6.78,Sunny
4/12/2020,84.42,9.24,Sunny
4/13/2020,89.88,12.76,Windy
4/14/2020,73.9,9.17,Sunny
4/15/2020,69.42,7.28,Sunny
4/16/2020,66.32,6.35,Sunny
4/17/2020,68.99,5.81,Sunny
4/18/2020,84.44,6.36,Sunny
4/19/2020,79.17,8.13,Sunny
4/20/2020,80.2,8.56,Sunny
4/21/2020,83.99,8.93,Sunny
4/22/2020,63.64,5.7,Sunny
4/23/2020,71.71,5.69,Sunny
4/24/2020,93.88,8.17,Sunny
4/25/2020,86.11,8.84,Sunny
4/26/2020,92.9,8.32,Sunny
4/27/2020,83.81,7.17,Sunny
4/28/2020,76.34,9.4,Sunny
4/29/2020,89.35,9.53,Sunny
4/30/2020,93.7,11.64,Windy
5/1/2020,90.39,12.55,Windy
5/2/2020,76.26,13.01,Windy
5/3/2020,85.03,14.54,Windy
5/4/2020,77.06,13.02,Windy
5/5/2020,67.75,10.19,Windy
5/6/2020,87.35,8.93,Sunny
5/7/2020,73.06,11.17,Windy
5/8/2020,79.11,8.58,Sunny
5/9/2020,66.27,5.46,Sunny
5/10/2020,71.64,9.03,Sunny
5/11/2020,82.5,10.21,Windy
5/12/2020,67.79,9.14,Sunny
5/13/2020,67.36,9.63,Sunny
5/14/2020,80.89,11.45,Windy
5/15/2020,88.21,15.9,Cloudy
5/16/2020,82.51,15.72,Cloudy
5/17/2020,86.58,11.88,Windy
5/18/2020,86.77,12.31,Windy
5/19/2020,75.35,12.42,Windy
5/20/2020,73.52,11.03,Windy
5/21/2020,85.76,10.78,Windy
5/22/2020,92.05,14.14,Windy
5/23/2020,91.42,14.53,Windy
5/24/2020,83.32,12.66,Windy
5/25/2020,93.22,13.41,Windy
5/26/2020,93.52,14.86,Windy
5/27/2020,93.8,15.29,Cloudy
5/28/2020,95.71,16.51,Cloudy
5/29/2020,94.6,17.57,Cloudy
5/30/2020,82.02,18.53,Cloudy
5/31/2020,69.7,15.43,Cloudy
6/1/2020,67.35,14.68,Windy
6/2/2020,80.15,16.2,Cloudy
6/3/2020,91.28,18.87,Cloudy
6/4/2020,88.1,19.55,Cloudy
6/5/2020,93.96,19.06,Cloudy
6/6/2020,84.12,20.72,Rainy
6/7/2020,74.4,18.7,Cloudy
6/8/2020,73.96,18.52,Cloudy
6/9/2020,77.96,20.1,Rainy
6/10/2020,93.6,19.69,Cloudy
6/11/2020,94.25,19.92,Cloudy
6/12/2020,78.3,20.95,Rainy
6/13/2020,67.4,17.84,Cloudy
6/14/2020,74.45,16.38,Cloudy
6/15/2020,80.14,17.21,Cloudy
6/16/2020,79.4,17.8,Cloudy
6/17/2020,84.66,18.07,Cloudy
6/18/2020,92.77,18.61,Cloudy
6/19/2020,88.84,20.15,Rainy
6/20/2020,89.6,20.97,Rainy
6/21/2020,88.94,21.57,Rainy
6/22/2020,83.8,23.06,Rainy
6/23/2020,88.86,22.7,Rainy
6/24/2020,77.63,23.59,Rainy
6/25/2020,76.35,23.07,Rainy
6/26/2020,74.11,23.54,Rainy
6/27/2020,82.87,23.64,Rainy
6/28/2020,84.24,24.35,Rainy
6/29/2020,76.08,24.22,Rainy
6/30/2020,76.86,22.49,Rainy
7/1/2020,81.77,22.86,Rainy
7/2/2020,74.37,25.01,Rainy
7/3/2020,79.59,25.26,Rainy
7/4/2020,81.53,23.03,Rainy
7/5/2020,78.9,25.32,Rainy
7/6/2020,79.51,25.51,Rainy
7/7/2020,90.72,23.8,Rainy
7/8/2020,88.45,25.01,Rainy
7/9/2020,86.45,25.44,Rainy
7/10/2020,95.3,24.11,Rainy
7/11/2020,91.43,24.59,Rainy
7/12/2020,78.83,24.93,Rainy
7/13/2020,80.38,24.72,Rainy
7/14/2020,72.76,24.77,Rainy
7/15/2020,81.56,22.72,Rainy
7/16/2020,77.4,21.91,Rainy
7/17/2020,86.96,23.99,Rainy
7/18/2020,79.23,25.39,Rainy
7/19/2020,82.44,26.1,Rainy
7/20/2020,79.21,27.38,Rainy
7/21/2020,74.94,26.74,Rainy
7/22/2020,84.58,26.94,Rainy
7/23/2020,86.91,26.23,Rainy
7/24/2020,88.74,24.61,Rainy
7/25/2020,78.1,25.77,Rainy
7/26/2020,77.5,27.15,Rainy
7/27/2020,69.51,27.71,Cloudy
7/28/2020,74.7,27.83,Rainy
7/29/2020,73.82,26.84,Rainy
7/30/2020,76.01,26.55,Rainy
7/31/2020,86.61,24.16,Rainy
8/1/2020,75.69,25.54,Rainy
